지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
,,,,,,,,,,,,
90,1968-01-01,,속초,강원특별자치도 고성군 토성면 봉포리,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10,1.4
93,2016-10-01,,북춘천,강원특별자치도 춘천시 신북읍 산천리,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10,1.4
95,1988-01-01,,철원,강원특별자치도 철원군 갈말읍 군탄리,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13,1.5
98,1998-02-01,,동두천,경기도 동두천시 생연동,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10,1
99,2013-10-22,,파주,경기도 파주시 문산읍 운천리,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10,1
99,2001-12-07,2013-10-22,문산,경기도 파주시 문산읍 운천리,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10,0.5
100,2006-11-07,,대관령,(산지)강원특별자치도 평창군 대관령면 횡계리,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10,1.4
100,1971-07-15,2006-11-07,대관령,(산지)강원도 평창군 대관령면 횡계리,,37.6869,128.7587,842.52,843.96,1.5,10,1.6
101,1966-01-01,,춘천,강원특별자치도 춘천시 우두동,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10,1.4
102,2018-05-01,,백령도,인천광역시 옹진군 백령면 진촌리,백령도기상대(102),37.974,124.7124,36,37.2,1.8,9,1.2
102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,146,147.2,1.8,9,1.2
104,2008-07-28,,북강릉,강원특별자치도 강릉시 사천면 방동리,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10,1.4
105,1911-10-03,,강릉,강원특별자치도 강릉시 용강동,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10,0.5
106,1992-05-01,,동해,강원특별자치도 동해시 용정동,동해기상대(106),37.5071,129.1243,40.46,41.66,1.7,10,1.4
108,2010-08-16,,서울,서울특별시 종로구 송월동,서울기상관측소(108),37.5714,126.9658,85.67,86.67,1.5,10,0.5
108,1907-10-01,2010-08-16,서울,서울특별시 종로구 송월동,서울기상관측소(108),37.5714,126.9658,85.5,86.5,1.5,10,0.6
112,2013-10-22,,인천,인천광역시 중구 전동,인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10,1.2
112,1904-08-29,2013-10-22,인천,인천광역시 중구 전동,인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10,0.6
114,1971-09-06,,원주,강원특별자치도 원주시 명륜동,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14,1.4
115,1938-08-10,,울릉도,경상북도 울릉군 울릉읍 도동리,울릉도기상대(115),37.4813,130.8986,221.14,223.7,1.6,10,1.3
116,1984-01-01,1990-12-31,관악산,서울특별시,,37.4442,126.9639,626.76,627.96,1.4,3.9,1.1
119,2019-07-24,,수원,경기도 수원시권선구 고색동,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1
119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 서둔동,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
121,1994-12-01,,영월,강원특별자치도 영월군 영월읍 하송리,영월기상대(121),37.1813,128.4574,240.54,242.05,1.7,10,1.4
127,1972-01-01,,충주,충청북도 충주시 안림동,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10,1
129,1968-01-01,,서산,충청남도 서산시 수석동,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
130,2020-12-04,,울진,경상북도 울진군 울진읍 연지리,안동기상대(136),36.9918,129.4128,48.98,50.18,1.75,10,1.3
130,1971-01-12,2020-12-04,울진,경상북도 울진군 울진읍 연지리,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10,1.3
131,1967-01-01,,청주,충청북도 청주시흥덕구 복대동,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10,0.8
133,1969-01-01,,대전,대전광역시 유성구 구성동,대전지방기상청(133),36.372,127.3721,67.79,68.49,1.4,23.7,1
135,1937-01-11,,추풍령,충청북도 영동군 추풍령면 관리,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1
136,1983-01-01,,안동,경상북도 안동시 운안동,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3
136,1973-01-01,1978-05-01,안동,경상북도 안동시 운안동,,36.573,128.7073,139.39,141.4,1.5,10,0.6
137,2002-01-01,,상주,경상북도 상주시 낙양동,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10,1.4
138,1943-01-01,,포항,경상북도 포항시남구 송도동,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10,1.2
140,2003-12-31,,군산,전북특별자치도 군산시 금동,전주기상대(146),36.0053,126.7614,27.85,24.6,1.7,10,1
140,1968-01-01,2003-12-01,군산,전라북도 군산시 금동,,35.993,126.7057,25.57,30.74,1.5,18,0.6
143,2017-08-25,,대구,대구광역시 동구 효목동,대구(구 143),35.878,128.653,54.27,55.52,1.8,10,0.6
143,1907-01-31,2017-08-25,대구,대구광역시 동구 효목동,대구(구 143),35.8282,128.6522,53.4,54.9,1.8,10,0.6
146,2015-07-01,,전주,전북특별자치도 전주시 덕진구 덕진동2가,전주기상대(146),35.8409,127.1172,60.44,62.9,1.6,10,1.4
146,1918-06-23,2015-07-01,전주,전라북도 전주시완산구 남노송동,전주기상대(146),35.8215,127.155,53.4,62.4,1.8,18.4,0.6
152,2017-08-25,,울산,울산광역시 중구 약사동,울산기상대(152),35.5824,129.3347,81.14,83.2,1.8,10,1.3
152,2016-04-01,2017-08-25,울산,울산광역시 중구 서동,울산기상대(152),35.5826,129.3344,82,83.2,1.8,10,0.6
152,1932-01-06,2016-04-01,울산,울산광역시 중구 북정동,울산기상대(152),35.5601,129.3203,34.57,35.8,1.5,12,0.5
155,2010-07-22,,창원,경상남도 창원시 마산합포구 가포동,창원기상대(155),35.1702,128.5728,34.97,39.1,1.7,10,1.3
155,2004-12-16,2010-07-22,마산,경상남도 창원시 마산합포구 가포동,,35.1671,128.5751,36.8,37.9,1.7,10,0.5
155,1985-07-01,2004-12-16,마산,경상남도 창원시 마산합포구 월포동,,35.1903,128.5652,11.25,4.9,1.5,17.6,0.6
156,1939-05-01,,광주,광주광역시 북구 운암동,광주지방기상청(156),35.1729,126.8916,70.28,73.9,1.7,17.5,0.8
159,1904-04-09,,부산,부산광역시 중구 대청동1가,부산지방기상청(159),35.1047,129.032,69.56,70.9,1.5,18,1.3
162,1968-01-01,,통영,경상남도 통영시 정량동,부산지방기상청(159),34.8454,128.4356,31.24,33.2,1.5,18,1.3
164,1993-01-01,2000-07-31,무안,전라남도,,35.0938,126.2851,24.49,25.03,1.5,12.6,0.6
165,2019-10-31,,목포,전라남도 목포시 연산동,목포기상대(165),34.8173,126.3815,44.7,39.2,1.5,14.5,1
165,1904-04-08,2019-10-31,목포,전라남도 목포시 연산동,목포기상대(165),34.8169,126.3812,38,39.2,1.5,14.5,1
168,1942-03-01,,여수,전라남도 여수시 중앙동,여수기상대(168),34.7393,127.7406,65.93,66.1,1.5,13,0.6
