fid,경도,위도,교량,터널,ROAD_RANK,alti_mean,alti_stdev,alti_min,alti_max,terrain_mean,aspect_mean,sun_mean,sun_stdev,sun_min,azi_mean,Drainage Class,label,시도,시군구,읍면동
1,127.0150171,37.57307474,False,False,103.0,21.44136205,3.442324818,19.5297184,28.05241966,2.069146622,130.2688464,9.702046613,4.04e-05,9.702017784,237.8962941,3.368175287,1,서울특별시,종로구,창신동
2,126.9838589,37.56615707,False,False,101.0,27.13498288,0.709860737,26.14133453,27.27804756,0.443528286,20.31778148,9.702645302,0.0,9.702645302,237.8764954,2.0,1,서울특별시,중구,을지로2가
3,127.0289729,37.54183637,False,False,102.0,11.59746461,2.143076734,11.2941227,14.61301422,3.085920235,275.7103118,9.704711914,0.0,9.704711914,237.9079424,,1,서울특별시,성동구,옥수동
4,127.0711307,37.54129396,False,False,103.0,13.58625459,0.380535323,13.078578,13.74224472,0.216848277,221.465691,9.704774857,0.0,9.704774857,237.9351501,4.0,1,서울특별시,광진구,화양동
5,127.06982,37.56057813,False,True,101.0,13.17778759,1.14121824,12.19098759,14.45488739,0.610265694,251.880257,9.703124086,3.91e-05,9.703079224,237.9327442,4.0,1,서울특별시,성동구,용답동
6,127.0627451,37.56692083,False,False,101.0,12.12557247,0.31238861,11.89146137,12.50022602,1.07245924,117.267376,9.702575916,3.84e-05,9.702542305,237.9277727,4.0,1,서울특별시,동대문구,장안동
7,127.0357388,37.65547438,False,False,101.0,34.58491157,0.711563927,34.17304993,35.50307083,1.7256184,40.95670975,9.694981575,0.0,9.694981575,237.9027755,4.0,1,서울특별시,도봉구,쌍문동
8,127.0581322,37.66122577,False,False,103.0,24.10055984,0.007371565,24.09569359,24.10977936,0.089914268,235.082424,9.694509506,0.0,9.694509506,237.9168243,4.0,1,서울특별시,노원구,상계동
9,127.0554936,37.6517415,True,False,103.0,21.73700143,1.440726877,20.69287682,23.48662758,2.01646431,246.9022523,9.695298123,3.8e-05,9.695284843,237.9161477,4.0,1,서울특별시,노원구,상계동
10,127.0604443,37.65450733,False,False,102.0,24.38397058,0.050865055,24.3439579,24.46245766,0.127274045,301.3627605,9.695058428,4.98e-05,9.695051193,237.9188456,5.0,1,서울특별시,노원구,상계동
11,127.0756191,37.62674948,False,False,104.0,23.75278697,1.092960338,22.15988159,25.08468437,1.67565922,258.2519432,9.697443008,0.0,9.697443008,237.931017,2.0,1,서울특별시,노원구,공릉동
12,126.9201076,37.60806035,False,False,101.0,26.78938779,0.920716951,25.50938606,27.02820778,0.537393119,202.9063797,9.699044228,0.0,9.699044228,237.831665,2.0,1,서울특별시,은평구,역촌동
13,126.8322517,37.55924816,False,False,103.0,8.98977741,0.133690983,8.798873901,9.148352623,0.079829336,112.1737926,9.703250625,5.44e-05,9.703173637,237.7786558,4.0,1,서울특별시,강서구,마곡동
14,126.8196932,37.56073579,False,False,103.0,8.796401955,0.649004092,7.925786972,9.08699131,0.299788191,176.2570717,9.703103065,0.0,9.703103065,237.7704163,4.0,1,서울특별시,강서구,마곡동
15,126.9050657,37.48507781,False,False,101.0,14.51986119,0.710547214,13.45325565,15.13380146,0.885269613,53.80776987,9.709573324,3.86e-05,9.709533691,237.8322688,,1,서울특별시,동작구,신대방동
16,126.9807553,37.50199407,False,True,103.0,10.14282591,3.568577107,8.635446548,16.08559036,3.633704916,26.53349548,9.708117485,0.0,9.708117485,237.8798828,4.0,1,서울특별시,동작구,동작동
17,126.9482268,37.46688152,False,False,104.0,58.50365209,1.603558896,56.70866013,59.88958359,4.75975368,132.592823,9.711131096,0.0,9.711131096,237.8617401,3.20043181,1,서울특별시,관악구,신림동
18,127.0196089,37.51622068,False,False,102.0,24.00431842,0.069344043,23.92366409,24.06010437,1.400101421,287.9792788,9.706917188,3.9e-05,9.70687294,237.9037574,2.0,1,서울특별시,강남구,신사동
19,127.0336253,37.49995372,False,False,104.0,31.195648,2.930026742,29.92364883,36.81014633,2.571929561,162.9646724,9.708313287,4.48e-05,9.708251953,237.9144072,3.864845435,1,서울특별시,강남구,역삼동
